{'loss': 3.4232, 'grad_norm': 0.31370607018470764, 'learning_rate': 1.8e-05, 'epoch': 0.04555808656036447, 'step': 10}
{'loss': 3.6568, 'grad_norm': 0.21828512847423553, 'learning_rate': 3.6e-05, 'epoch': 0.09111617312072894, 'step': 20}
{'loss': 3.564, 'grad_norm': 0.3619195520877838, 'learning_rate': 5.4000000000000005e-05, 'epoch': 0.1366742596810934, 'step': 30}
{'loss': 3.6837, 'grad_norm': 0.3145125210285187, 'learning_rate': 7e-05, 'epoch': 0.18223234624145787, 'step': 40}
{'loss': 3.1578, 'grad_norm': 0.21927346289157867, 'learning_rate': 9e-05, 'epoch': 0.22779043280182232, 'step': 50}
{'loss': 3.5636, 'grad_norm': 0.21217063069343567, 'learning_rate': 0.00010600000000000002, 'epoch': 0.2733485193621868, 'step': 60}
{'loss': 3.0197, 'grad_norm': 0.17227856814861298, 'learning_rate': 0.000126, 'epoch': 0.31890660592255127, 'step': 70}
{'loss': 2.9549, 'grad_norm': 0.24176616966724396, 'learning_rate': 0.000146, 'epoch': 0.36446469248291574, 'step': 80}
{'loss': 3.1525, 'grad_norm': 0.2696909010410309, 'learning_rate': 0.000164, 'epoch': 0.41002277904328016, 'step': 90}
{'loss': 2.8576, 'grad_norm': 0.25618311762809753, 'learning_rate': 0.00018400000000000003, 'epoch': 0.45558086560364464, 'step': 100}
{'loss': 3.0388, 'grad_norm': 0.27445104718208313, 'learning_rate': 0.00019999995780922461, 'epoch': 0.5011389521640092, 'step': 110}
{'loss': 2.7436, 'grad_norm': 0.25514787435531616, 'learning_rate': 0.00019999489495925433, 'epoch': 0.5466970387243736, 'step': 120}
{'loss': 2.7362, 'grad_norm': 0.3819734752178192, 'learning_rate': 0.00019998139444371473, 'epoch': 0.592255125284738, 'step': 130}
{'loss': 2.7051, 'grad_norm': 0.3964283764362335, 'learning_rate': 0.00019995945740179237, 'epoch': 0.6378132118451025, 'step': 140}
{'loss': 2.6733, 'grad_norm': 0.45535582304000854, 'learning_rate': 0.000199929085684556, 'epoch': 0.683371298405467, 'step': 150}
{'loss': 2.8246, 'grad_norm': 0.36685603857040405, 'learning_rate': 0.0001998945415950969, 'epoch': 0.7289293849658315, 'step': 160}
{'loss': 2.7166, 'grad_norm': 0.5028294324874878, 'learning_rate': 0.00019985316984641455, 'epoch': 0.7744874715261959, 'step': 170}
{'loss': 2.5011, 'grad_norm': 0.46909865736961365, 'learning_rate': 0.00019980497326621316, 'epoch': 0.8200455580865603, 'step': 180}
{'loss': 2.5772, 'grad_norm': 0.5617834329605103, 'learning_rate': 0.00019974995514866485, 'epoch': 0.8656036446469249, 'step': 190}
{'loss': 2.4864, 'grad_norm': 0.5522173643112183, 'learning_rate': 0.00019968082792790685, 'epoch': 0.9111617312072893, 'step': 200}
{'loss': 2.447, 'grad_norm': 0.5769593119621277, 'learning_rate': 0.00019961142170284762, 'epoch': 0.9567198177676538, 'step': 210}
{'loss': 2.3603, 'grad_norm': 0.8038920760154724, 'learning_rate': 0.00019952631884378384, 'epoch': 1.0, 'step': 220}
{'eval_loss': nan, 'eval_runtime': 37.3024, 'eval_samples_per_second': 23.537, 'eval_steps_per_second': 11.769, 'epoch': 1.0, 'step': 220}
{'loss': 2.163, 'grad_norm': 0.904125452041626, 'learning_rate': 0.0001994328178580548, 'epoch': 1.0455580865603644, 'step': 230}
{'loss': 2.1444, 'grad_norm': 0.9233224391937256, 'learning_rate': 0.00019933092663536382, 'epoch': 1.0911161731207288, 'step': 240}
{'loss': 2.1215, 'grad_norm': 0.9309518337249756, 'learning_rate': 0.00019922065377339036, 'epoch': 1.1366742596810935, 'step': 250}
{'loss': 2.0149, 'grad_norm': 0.9003922939300537, 'learning_rate': 0.00019910200857706478, 'epoch': 1.182232346241458, 'step': 260}
{'loss': 2.0886, 'grad_norm': 0.9661829471588135, 'learning_rate': 0.000198975001057783, 'epoch': 1.2277904328018223, 'step': 270}
{'loss': 2.1965, 'grad_norm': 0.9647263288497925, 'learning_rate': 0.00019885355334735082, 'epoch': 1.2733485193621867, 'step': 280}
{'loss': 1.8598, 'grad_norm': 1.2338632345199585, 'learning_rate': 0.00019871068752230162, 'epoch': 1.3189066059225514, 'step': 290}
{'loss': 1.7645, 'grad_norm': 1.2754319906234741, 'learning_rate': 0.0001985594923943438, 'epoch': 1.3644646924829158, 'step': 300}
{'loss': 1.7823, 'grad_norm': 1.371898889541626, 'learning_rate': 0.000198399980721468, 'epoch': 1.4100227790432802, 'step': 310}
{'loss': 1.7441, 'grad_norm': 1.7492494583129883, 'learning_rate': 0.0001982321659634228, 'epoch': 1.4555808656036446, 'step': 320}
{'loss': 1.7752, 'grad_norm': 1.2758333683013916, 'learning_rate': 0.00019805606228057916, 'epoch': 1.501138952164009, 'step': 330}
{'loss': 1.6004, 'grad_norm': 1.1765154600143433, 'learning_rate': 0.00019787168453273544, 'epoch': 1.5466970387243735, 'step': 340}
{'loss': 1.4841, 'grad_norm': 1.7092307806015015, 'learning_rate': 0.00019767904827786375, 'epoch': 1.592255125284738, 'step': 350}
{'loss': 1.6563, 'grad_norm': 1.8917287588119507, 'learning_rate': 0.00019747816977079671, 'epoch': 1.6378132118451025, 'step': 360}
{'loss': 1.7206, 'grad_norm': 1.5414109230041504, 'learning_rate': 0.0001972690659618564, 'epoch': 1.683371298405467, 'step': 370}
{'loss': 1.4284, 'grad_norm': 1.3962289094924927, 'learning_rate': 0.00019705175449542358, 'epoch': 1.7289293849658316, 'step': 380}
{'loss': 1.4276, 'grad_norm': 1.3967969417572021, 'learning_rate': 0.00019682625370844918, 'epoch': 1.774487471526196, 'step': 390}
{'loss': 1.3952, 'grad_norm': 1.2478080987930298, 'learning_rate': 0.00019659258262890683, 'epoch': 1.8200455580865604, 'step': 400}
{'loss': 1.399, 'grad_norm': 1.0986648797988892, 'learning_rate': 0.00019635076097418734, 'epoch': 1.8656036446469249, 'step': 410}
{'loss': 1.4347, 'grad_norm': 1.4226409196853638, 'learning_rate': 0.0001961261695938319, 'epoch': 1.9111617312072893, 'step': 420}
{'loss': 1.3577, 'grad_norm': 1.3461434841156006, 'learning_rate': 0.0001958689186294897, 'epoch': 1.9567198177676537, 'step': 430}
{'loss': 1.3472, 'grad_norm': 2.459402322769165, 'learning_rate': 0.00019563047559630357, 'epoch': 2.0, 'step': 440}
{'eval_loss': 1.4727259874343872, 'eval_runtime': 36.9799, 'eval_samples_per_second': 23.743, 'eval_steps_per_second': 11.871, 'epoch': 2.0, 'step': 440}
{'loss': 1.3189, 'grad_norm': 1.7416704893112183, 'learning_rate': 0.00019535787368347442, 'epoch': 2.0455580865603644, 'step': 450}
{'loss': 1.2423, 'grad_norm': 1.3758388757705688, 'learning_rate': 0.00019507722538139846, 'epoch': 2.091116173120729, 'step': 460}
{'loss': 1.0904, 'grad_norm': 1.0491089820861816, 'learning_rate': 0.00019478855437144973, 'epoch': 2.1366742596810933, 'step': 470}
{'loss': 1.1063, 'grad_norm': 1.7600557804107666, 'learning_rate': 0.00019452191116547618, 'epoch': 2.1822323462414577, 'step': 480}
{'loss': 1.0527, 'grad_norm': 1.6142133474349976, 'learning_rate': 0.00019421806467564544, 'epoch': 2.2277904328018225, 'step': 490}
{'loss': 1.075, 'grad_norm': 1.8394784927368164, 'learning_rate': 0.00019390626797475, 'epoch': 2.273348519362187, 'step': 500}
{'loss': 1.1548, 'grad_norm': 1.5065914392471313, 'learning_rate': 0.00019358654737249592, 'epoch': 2.3189066059225514, 'step': 510}
{'loss': 1.0363, 'grad_norm': 2.011504650115967, 'learning_rate': 0.0001932589298472155, 'epoch': 2.364464692482916, 'step': 520}
{'loss': 1.1075, 'grad_norm': 1.658759355545044, 'learning_rate': 0.00019292344304359124, 'epoch': 2.41002277904328, 'step': 530}
{'loss': 0.9994, 'grad_norm': 1.9614604711532593, 'learning_rate': 0.0001926148000708038, 'epoch': 2.4555808656036446, 'step': 540}
{'loss': 0.9519, 'grad_norm': 1.2457070350646973, 'learning_rate': 0.0001922644401756801, 'epoch': 2.501138952164009, 'step': 550}
{'loss': 0.9915, 'grad_norm': 1.346625566482544, 'learning_rate': 0.00019190629491820912, 'epoch': 2.5466970387243735, 'step': 560}
{'loss': 1.029, 'grad_norm': 1.4580178260803223, 'learning_rate': 0.00019154039451903268, 'epoch': 2.592255125284738, 'step': 570}
{'loss': 1.0663, 'grad_norm': 1.2336896657943726, 'learning_rate': 0.00019116676985317895, 'epoch': 2.6378132118451028, 'step': 580}
{'loss': 1.1439, 'grad_norm': 1.03074049949646, 'learning_rate': 0.00019082392944938466, 'epoch': 2.6833712984054667, 'step': 590}
{'loss': 0.993, 'grad_norm': 1.2164664268493652, 'learning_rate': 0.00019043571606975777, 'epoch': 2.7289293849658316, 'step': 600}
{'loss': 1.0102, 'grad_norm': 1.2490260601043701, 'learning_rate': 0.00019003987163728535, 'epoch': 2.774487471526196, 'step': 610}
{'loss': 0.7853, 'grad_norm': 1.627594232559204, 'learning_rate': 0.00018963642955370201, 'epoch': 2.8200455580865604, 'step': 620}
{'loss': 1.0022, 'grad_norm': 1.6869442462921143, 'learning_rate': 0.0001892254238618394, 'epoch': 2.865603644646925, 'step': 630}
{'loss': 1.0251, 'grad_norm': 2.169060707092285, 'learning_rate': 0.00018880688924275378, 'epoch': 2.9111617312072893, 'step': 640}
{'loss': 1.0464, 'grad_norm': 1.4267046451568604, 'learning_rate': 0.0001884238000286889, 'epoch': 2.9567198177676537, 'step': 650}
{'loss': 1.092, 'grad_norm': 2.074096441268921, 'learning_rate': 0.00018799105826710908, 'epoch': 3.0, 'step': 660}
{'eval_loss': nan, 'eval_runtime': 37.9712, 'eval_samples_per_second': 23.123, 'eval_steps_per_second': 11.561, 'epoch': 3.0, 'step': 660}
{'loss': 0.905, 'grad_norm': 1.553205966949463, 'learning_rate': 0.0001875508917352643, 'epoch': 3.0455580865603644, 'step': 670}
{'loss': 0.8306, 'grad_norm': 1.4980593919754028, 'learning_rate': 0.00018710333757483052, 'epoch': 3.091116173120729, 'step': 680}
{'loss': 0.9412, 'grad_norm': 2.491976261138916, 'learning_rate': 0.00018669425360798205, 'epoch': 3.1366742596810933, 'step': 690}
{'loss': 1.4149, 'grad_norm': 4.007261753082275, 'learning_rate': 0.00018623276750859784, 'epoch': 3.1822323462414577, 'step': 700}
{'loss': 2.7872, 'grad_norm': 3.024226188659668, 'learning_rate': 0.00018576400500521672, 'epoch': 3.2277904328018225, 'step': 710}
{'loss': 2.2472, 'grad_norm': 4.012907028198242, 'learning_rate': 0.0001852880056524703, 'epoch': 3.273348519362187, 'step': 720}
{'loss': 2.2665, 'grad_norm': 2.3488495349884033, 'learning_rate': 0.0001848048096156426, 'epoch': 3.3189066059225514, 'step': 730}
{'loss': 2.3592, 'grad_norm': 1.3723974227905273, 'learning_rate': 0.00018431445766728066, 'epoch': 3.364464692482916, 'step': 740}
{'loss': 2.6855, 'grad_norm': 2.134392023086548, 'learning_rate': 0.00018381699118375427, 'epoch': 3.41002277904328, 'step': 750}
{'loss': 2.905, 'grad_norm': 1.1311924457550049, 'learning_rate': 0.00018331245214176458, 'epoch': 3.4555808656036446, 'step': 760}
{'loss': 3.0629, 'grad_norm': 0.982988178730011, 'learning_rate': 0.00018280088311480201, 'epoch': 3.501138952164009, 'step': 770}
{'loss': 3.2767, 'grad_norm': 0.6664510369300842, 'learning_rate': 0.00018228232726955388, 'epoch': 3.5466970387243735, 'step': 780}
{'loss': 3.6022, 'grad_norm': 0.45269596576690674, 'learning_rate': 0.000181756828362262, 'epoch': 3.592255125284738, 'step': 790}
{'loss': 3.9442, 'grad_norm': 1.8518919944763184, 'learning_rate': 0.00018122443073503034, 'epoch': 3.6378132118451028, 'step': 800}
{'loss': 5.0566, 'grad_norm': 5.039552688598633, 'learning_rate': 0.00018068517931208366, 'epoch': 3.6833712984054667, 'step': 810}
{'loss': 5.7904, 'grad_norm': 0.5181705951690674, 'learning_rate': 0.00018013911959597655, 'epoch': 3.7289293849658316, 'step': 820}
{'loss': 5.6914, 'grad_norm': 1.0944206714630127, 'learning_rate': 0.00017958629766375386, 'epoch': 3.774487471526196, 'step': 830}
{'loss': 6.2787, 'grad_norm': 0.8901839852333069, 'learning_rate': 0.0001790267601630628, 'epoch': 3.8200455580865604, 'step': 840}
{'loss': 6.3591, 'grad_norm': 1.1872315406799316, 'learning_rate': 0.00017846055430821678, 'epoch': 3.865603644646925, 'step': 850}
{'loss': 6.7273, 'grad_norm': 0.7597416639328003, 'learning_rate': 0.00017788772787621126, 'epoch': 3.9111617312072893, 'step': 860}
{'loss': 7.0519, 'grad_norm': 0.7836600542068481, 'learning_rate': 0.0001773083292026924, 'epoch': 3.9567198177676537, 'step': 870}
{'loss': 7.3989, 'grad_norm': 10.343497276306152, 'learning_rate': 0.00017672240717787852, 'epoch': 4.0, 'step': 880}
{'eval_loss': 7.5452561378479, 'eval_runtime': 37.0999, 'eval_samples_per_second': 23.666, 'eval_steps_per_second': 11.833, 'epoch': 4.0, 'step': 880}
{'loss': 7.5094, 'grad_norm': 0.5136958360671997, 'learning_rate': 0.00017613001124243446, 'epoch': 4.045558086560365, 'step': 890}
{'loss': 7.7363, 'grad_norm': 0.3718394339084625, 'learning_rate': 0.0001755311913833, 'epoch': 4.091116173120729, 'step': 900}
{'loss': 7.7872, 'grad_norm': 1.1905854940414429, 'learning_rate': 0.00017492599812947172, 'epoch': 4.136674259681094, 'step': 910}
{'loss': 7.828, 'grad_norm': 1.4717586040496826, 'learning_rate': 0.00017431448254773944, 'epoch': 4.182232346241458, 'step': 920}
{'loss': 7.7201, 'grad_norm': 1.4055818319320679, 'learning_rate': 0.00017369669623837702, 'epoch': 4.2277904328018225, 'step': 930}
{'loss': 7.8249, 'grad_norm': 1.826419472694397, 'learning_rate': 0.00017307269133078843, 'epoch': 4.2733485193621865, 'step': 940}
{'loss': 7.8739, 'grad_norm': 0.5029463171958923, 'learning_rate': 0.00017244252047910892, 'epoch': 4.318906605922551, 'step': 950}
{'loss': 7.9532, 'grad_norm': 0.35192978382110596, 'learning_rate': 0.00017180623685776202, 'epoch': 4.364464692482915, 'step': 960}
{'loss': 7.8341, 'grad_norm': 0.9964939951896667, 'learning_rate': 0.00017116389415697272, 'epoch': 4.41002277904328, 'step': 970}
{'loss': 7.8288, 'grad_norm': 0.3132018744945526, 'learning_rate': 0.00017051554657823692, 'epoch': 4.455580865603645, 'step': 980}
{'loss': 7.8805, 'grad_norm': 0.5053199529647827, 'learning_rate': 0.0001698612488297479, 'epoch': 4.501138952164009, 'step': 990}
{'loss': 7.7667, 'grad_norm': 1.7347002029418945, 'learning_rate': 0.00016920105612178, 'epoch': 4.546697038724374, 'step': 1000}
{'loss': 7.7873, 'grad_norm': 0.3502654433250427, 'learning_rate': 0.00016853502416203, 'epoch': 4.592255125284738, 'step': 1010}
